positive,negative,neutral,sent_score,sent_class
0.67320424,0.01186548,0.3149303,0.66133875,positive
0.20719215,0.0076606805,0.78514713,0.19953147,neutral
0.053886384,0.037131052,0.9089825,0.016755331,neutral
0.10012512,0.24168366,0.65819126,-0.14155854,neutral
0.20617619,0.17422064,0.61960316,0.031955555,neutral
0.040657286,0.24292363,0.71641904,-0.20226635,neutral
0.16181919,0.023647966,0.8145328,0.13817123,neutral
0.92207676,0.010546904,0.067376286,0.91152984,positive
0.25341797,0.010045859,0.7365362,0.24337211,neutral
0.018498624,0.699492,0.28200942,-0.6809934,negative
0.026926942,0.14625537,0.8268177,-0.11932843,neutral
0.21025601,0.00801439,0.78172964,0.20224161,neutral
0.719922,0.20906408,0.071013935,0.51085794,positive
0.17662266,0.0099599315,0.81341743,0.16666272,neutral
0.022460783,0.08926992,0.88826925,-0.06680914,neutral
0.016200807,0.83616006,0.14763916,-0.8199593,negative
0.33084828,0.6310212,0.0381305,-0.30017292,negative
0.007825647,0.952224,0.039950382,-0.94439834,negative
0.30125627,0.012250238,0.6864936,0.28900602,neutral
0.4659264,0.015446582,0.51862705,0.45047984,neutral
0.041147497,0.02268866,0.9361638,0.018458836,neutral
0.03244011,0.01695274,0.9506071,0.015487371,neutral
0.071851335,0.01724034,0.91090834,0.054610997,neutral
0.19656019,0.008761739,0.79467803,0.18779846,neutral
0.68134093,0.030472582,0.28818646,0.65086836,positive
0.0113530485,0.9226646,0.0659824,-0.9113115,negative
0.7312722,0.008952017,0.2597758,0.7223202,positive
0.0180071,0.8485624,0.13343056,-0.8305553,negative
0.58933765,0.044124994,0.36653736,0.5452126,positive
0.30559367,0.02270318,0.67170316,0.2828905,neutral
0.008823518,0.96888494,0.022291563,-0.96006143,negative
0.8918934,0.027150039,0.080956504,0.86474335,positive
0.39349684,0.12170522,0.48479792,0.27179164,neutral
0.07394444,0.011108709,0.91494685,0.06283573,neutral
0.020083021,0.85484034,0.1250766,-0.8347573,negative
0.030237075,0.6506372,0.3191257,-0.62040013,negative
0.5307837,0.0074149645,0.46180126,0.5233688,positive
0.018395219,0.9421966,0.0394082,-0.92380136,negative
0.41302374,0.5299836,0.056992646,-0.11695984,negative
0.089850746,0.024076344,0.8860729,0.0657744,neutral
0.080733195,0.011000404,0.9082664,0.06973279,neutral
0.25613263,0.0076705744,0.7361968,0.24846205,neutral
0.17730917,0.023397911,0.7992929,0.15391126,neutral
0.7521303,0.0130272135,0.23484246,0.73910314,positive
0.17221065,0.037352905,0.79043645,0.13485774,neutral
0.019589845,0.7607991,0.21961102,-0.74120927,negative
0.097125605,0.02596248,0.87691194,0.071163125,neutral
0.6961305,0.01809608,0.2857734,0.6780344,positive
0.9480967,0.023140438,0.028762838,0.92495626,positive
0.79066235,0.008864465,0.20047323,0.7817979,positive
0.030612372,0.1619733,0.80741435,-0.13136092,neutral
0.85428137,0.009140891,0.13657774,0.84514046,positive
0.9009998,0.079299435,0.019700788,0.82170033,positive
0.9404834,0.031402256,0.02811438,0.90908116,positive
0.8980428,0.07190854,0.030048689,0.82613426,positive
0.019116003,0.90016836,0.080715545,-0.8810524,negative
0.9351615,0.019458674,0.04537985,0.9157028,positive
0.36769062,0.009755879,0.6225535,0.35793474,neutral
0.7153583,0.021689031,0.2629527,0.69366926,positive
0.10133783,0.24615605,0.6525061,-0.14481822,neutral
0.031967923,0.9521929,0.01583924,-0.92022496,negative
0.08227223,0.025184738,0.89254296,0.057087496,neutral
0.94040805,0.015504396,0.044087555,0.92490363,positive
0.9319293,0.03682932,0.031241361,0.8951,positive
0.073049605,0.021113608,0.90583676,0.051935997,neutral
