feature_set,fold,seed,reg_RMSE,reg_MAE,reg_MAPE,clf_accuracy,clf_f1,clf_auc
numeric_only,0,0,831.0512825976457,702.7569464247973,0.0404139050140792,0.5348837209302325,0.2857142857142857,0.5233695652173913
numeric_only,0,1,889.3243427303379,610.2769394220512,0.03484519613787198,0.5813953488372093,0.4,0.5793478260869566
numeric_only,0,2,694.8405224673972,520.0331044073479,0.029343696651811624,0.5465116279069767,0.2641509433962264,0.5804347826086956
numeric_only,0,3,796.7656409507322,600.9339306742525,0.03493669557332319,0.5465116279069767,0.20408163265306123,0.5978260869565217
numeric_only,0,4,752.5651477724183,563.5470670091839,0.032348188314768066,0.5348837209302325,0.2,0.5896739130434782
numeric_only,1,0,1106.9703010374028,837.4229240193882,0.03585241352961885,0.5813953488372093,0.4,0.5678745267712277
numeric_only,1,1,831.3398530556709,624.05903049873,0.02621704864999696,0.5348837209302325,0.2857142857142857,0.5013520822065982
numeric_only,1,2,860.8971124879918,622.0791063658314,0.027184428693619558,0.5930232558139535,0.4262295081967213,0.5424553812871823
numeric_only,1,3,955.0671031553212,693.4696241175772,0.029266975965267318,0.5116279069767442,0.25,0.5035154137371551
numeric_only,1,4,1078.500455786943,840.5047321250746,0.03561269820168869,0.4883720930232558,0.18518518518518517,0.5062195781503516
numeric_only,2,0,877.3296866124432,719.1178798045662,0.025802547569021676,0.6046511627906976,0.5,0.5773809523809524
numeric_only,2,1,2042.2802869012405,1934.0323484709736,0.06873896637165758,0.5116279069767442,0.0,0.5898268398268398
numeric_only,2,2,998.7690004232438,798.8558167177591,0.0280176988323825,0.5116279069767442,0.0,0.514069264069264
numeric_only,2,3,884.4620572943335,727.23422707426,0.026094191647749215,0.5581395348837209,0.525,0.5800865800865801
numeric_only,2,4,1276.29057690905,926.2946896094173,0.03241933830896093,0.5348837209302325,0.3103448275862069,0.5909090909090909
numeric_only,3,0,626.0691085193425,490.0199815656375,0.017546197697522078,0.46511627906976744,0.54,0.49972421400992834
numeric_only,3,1,619.7222398271465,478.8521584610043,0.017009279155160973,0.4883720930232558,0.5416666666666666,0.549365692222835
numeric_only,3,2,766.2642038606525,624.9263427889362,0.022169819411653226,0.4883720930232558,0.5111111111111111,0.4931053502482074
numeric_only,3,3,658.7238364764071,537.8651189541114,0.019035380976191923,0.43023255813953487,0.5504587155963303,0.5206839492553779
numeric_only,3,4,725.3388117610623,521.4384393671914,0.018924438672497122,0.47674418604651164,0.5360824742268041,0.5322669608383894
numeric_only,4,0,1364.7809559586005,999.241813163383,0.027555715557588106,0.45555555555555555,0.0392156862745098,0.55
numeric_only,4,1,1154.4658080978431,898.4358757047578,0.0251044804748761,0.4444444444444444,0.0,0.5105
numeric_only,4,2,1302.4324798895727,987.2984706271608,0.0280433348861929,0.43333333333333335,0.0,0.527
numeric_only,4,3,1162.533968051115,873.5175203609513,0.024770599374108082,0.4666666666666667,0.25,0.527
numeric_only,4,4,1124.9190728381514,829.2940289353861,0.02354610054730557,0.4777777777777778,0.11320754716981132,0.5245
numeric_plus_sentiment,0,0,748.9929953806028,589.2891781104059,0.03396857898687438,0.5232558139534884,0.3880597014925373,0.5396739130434783
numeric_plus_sentiment,0,1,581.7736882359367,418.6369522033539,0.02371477687330201,0.5581395348837209,0.4864864864864865,0.5706521739130435
numeric_plus_sentiment,0,2,805.3450545005409,667.90827421857,0.03719195271601589,0.5232558139534884,0.4675324675324675,0.5559782608695651
numeric_plus_sentiment,0,3,1128.091314239682,974.3784319796202,0.0551291536264779,0.5,0.5981308411214953,0.541304347826087
numeric_plus_sentiment,0,4,1017.1190547595738,712.7001497756303,0.04070550293253972,0.5697674418604651,0.3728813559322034,0.5728260869565218
numeric_plus_sentiment,1,0,846.3165227371439,668.9268473569293,0.028713946792603185,0.5232558139534884,0.2807017543859649,0.515413737155219
numeric_plus_sentiment,1,1,1166.8746874869178,918.9839147128365,0.03929325737439084,0.5581395348837209,0.4411764705882353,0.5224445646295295
numeric_plus_sentiment,1,2,1082.0513569302032,795.2713828854193,0.03280099633436984,0.5232558139534884,0.2807017543859649,0.5083829096809086
numeric_plus_sentiment,1,3,1003.3312340071682,766.3418541587388,0.03241571883233821,0.5116279069767442,0.25,0.5186587344510546
numeric_plus_sentiment,1,4,1276.8955684894047,1011.4350325327711,0.04405700089987612,0.5,0.12244897959183673,0.5127095727420228
numeric_plus_sentiment,2,0,1044.0238899479843,858.2542061324524,0.030744922167539702,0.5465116279069767,0.6285714285714286,0.5714285714285714
numeric_plus_sentiment,2,1,956.8959873821891,740.1685813800134,0.026463519720227237,0.5116279069767442,0.65,0.6271645021645021
numeric_plus_sentiment,2,2,970.1344331215712,799.4111265612232,0.028631428613146572,0.5348837209302325,0.4444444444444444,0.5384199134199134
numeric_plus_sentiment,2,3,1287.5136999958315,999.5970937224622,0.03510751888792697,0.5465116279069767,0.5894736842105263,0.5514069264069263
numeric_plus_sentiment,2,4,1453.2343298697006,1083.073728721597,0.03783134580664447,0.5697674418604651,0.5432098765432098,0.5703463203463204
numeric_plus_sentiment,3,0,965.7219525869195,743.5833339278971,0.02667545133556891,0.5,0.4266666666666667,0.5223386651958081
numeric_plus_sentiment,3,1,790.2393774169336,634.399084810242,0.02274056728714516,0.4418604651162791,0.48936170212765956,0.5146166574738003
numeric_plus_sentiment,3,2,906.754923170386,710.9122561649474,0.0252986554761968,0.47674418604651164,0.5360824742268041,0.5041367898510756
numeric_plus_sentiment,3,3,723.0235816624912,596.8752778431747,0.021112089680923065,0.5348837209302325,0.5238095238095238,0.5631549917264203
numeric_plus_sentiment,3,4,989.0387089196388,822.2937381704904,0.029674733514526114,0.46511627906976744,0.4888888888888889,0.4980694980694981
numeric_plus_sentiment,4,0,1158.883290826538,822.3880756925714,0.02296009446347011,0.43333333333333335,0.03773584905660377,0.5445
numeric_plus_sentiment,4,1,1150.5182024966946,824.131035015344,0.023182593043119815,0.4666666666666667,0.22580645161290322,0.5105
numeric_plus_sentiment,4,2,1199.976686816848,864.8675741599368,0.02453441291109861,0.4888888888888889,0.20689655172413793,0.496
numeric_plus_sentiment,4,3,925.8374639693438,704.5638751715525,0.0201981263429247,0.45555555555555555,0.0392156862745098,0.492
numeric_plus_sentiment,4,4,1201.238876509008,867.0439123864,0.024352782758636567,0.45555555555555555,0.0392156862745098,0.5235000000000001
